transaction_date_iso,Volume,SystemOutcome,EfficiencyRate,DelayCode,SystemCode,Cab Temperature,Aspect,Location,Phase1,Phase2,RotationalAspect,GantryAspect,ChannelNumber,GantryAim,GantryVertical,BearingAspect,BearingAim,BoomVertical,RailMotor1,RailMotor2,MagneticVariance,LiftRate,VerticalLift,VerticalPosition,RailError,RailLengthPosition,MaxControl,Convexity,Systematic,Constraint
09/11/2013T2:54:25Z,5,Normal,1,25,,27.79,,,,,-89,-0.2,0,7,7.31,42.9,1.92,4.29,14.36,24.49,12.53,27.76,-6.29,-5.97,,42,-78,,,
09/11/2013T2:54:28Z,5,Normal,1,25,,27.79,,,,,-89,-0.2,0,7,7.22,42.9,1.92,4.29,14.36,24.49,12.53,27.76,-6.29,-5.97,,42,-78,,,28
09/11/2013T2:54:32Z,5,Normal,1,25,,27.79,,,,,-89,-0.2,0,7,7.22,42.9,1.92,4.29,14.36,24.49,12.53,27.76,-6.29,-5.97,,42,-78,,,28
09/13/2013T3:01:30Z,5,Normal,1,25,,27.86,,23.13,,,-89,0,0,7,7.71,42.9,1.89,4.38,14.36,24.5,9.44,27.71,-6.26,-6.02,,36,-71,,,
09/13/2013T3:01:31Z,5,Normal,1,25,,27.86,,23.13,,,-89,0,0,7,7.3,42.9,1.89,4.38,14.36,24.5,12.71,27.71,-6.26,-6.02,,36,-71,,,
09/13/2013T3:01:33Z,5,Normal,1,25,,27.86,,23.13,,,-89,0,0,7,7.3,42.9,1.89,4.38,14.36,24.5,12.71,27.71,-6.26,-6.02,,36,-71,,,28
09/13/2013T3:01:37Z,5,Normal,1,25,,27.86,,23.13,,,-89,0,0,7,7.3,43.4,1.89,4.38,14.36,24.5,12.71,27.71,-6.26,-6.02,,36,-71,,,
09/13/2013T9:17:07Z,5,GantryFailure,1,,501,28.75,,23.07,,,-114,89.4,0,7,15.17,42.9,1.91,4.43,10.22,24.5,8.75,27.68,-6.31,-5.87,,35,-34,,,
09/13/2013T9:17:08Z,5,GantryFailure,1,,501,28.75,,23.07,,,-114,89.4,0,7,7.48,42.9,1.91,4.43,14.22,24.5,8.75,27.68,-6.31,-5.87,,35,-34,,,
09/13/2013T9:17:10Z,5,GantryFailure,1,,501,28.75,,23.07,,,-114,89.4,0,7,7.28,42.9,1.91,4.43,14.22,24.5,12.42,27.68,-6.31,-5.87,,35,-34,,,28
09/13/2013T9:17:13Z,5,GantryFailure,1,,501,28.75,,23.07,,,-114,89.4,0,7,7.28,42.9,1.91,4.43,14.22,24.5,12.42,27.68,-6.31,-5.87,,35,-34,,,28
09/16/2013T3:02:56Z,5,Normal,1,265,,27.72,,23.09,,,-89,0.1,0,7,8.66,43.1,1.91,4.42,12.05,24.5,9.16,27.86,-6.17,-5.84,,42,-76,,,
09/16/2013T3:02:57Z,5,Normal,1,265,,27.72,,23.09,,,-89,0.1,0,7,7.35,43.1,1.91,4.42,14.36,24.5,12.59,27.86,-6.17,-5.84,,42,-76,,,28
09/16/2013T3:03:01Z,5,Normal,1,265,,27.72,,23.09,,,-89,0.1,0,7,7.35,43.1,1.91,4.42,14.36,24.5,12.59,27.86,-6.17,-5.84,,42,-76,,,28
09/16/2013T4:25:03Z,5,Normal,1,72,,28.89,,23.09,,,-90,-0.1,0,7,7.3,43.2,1.9,4.44,14.41,24.51,12.99,27.86,-6.22,-5.86,,42,-76,,,
09/16/2013T4:25:04Z,5,Normal,1,72,,27.86,,23.09,,,-90,-0.1,0,7,7.3,43.2,1.9,4.44,14.41,24.51,12.99,27.86,-6.22,-5.86,,42,-76,,,
09/17/2013T3:09:25Z,5,Normal,1,25,,28.47,,23.11,,,-89,0.5,0,7,7.41,43.1,1.92,4.42,13.98,24.45,9.53,27.58,-6.31,-5.91,,44,-69,,,
