"CustomerAge","JobTitle","CivilStatus","EducationLevel","Default","MortgageLoan","PersonalLoan","ContactMode","Month","WeekDay","ContactDuration","Campaign","DaysPassed","NumberContacts","PreviousOutcome","EmploymentVarRate","ConsumerPriceIndex","ConsumerConfidenceIndex","Euribor3M","NumEmployees","Subscribed","CustomerID"
30,"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",487,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no","4b5630ee914e848e8d07221556b0a2fb"
39,"services","single","high.school","no","no","no","telephone","may","fri",346,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no","c01f179e4b57ab8bd9de309e6d576c48"
25,"services","married","high.school","no","yes","no","telephone","jun","wed",227,1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no","11946e7a3ed5e1776e81c0f0ecd383d0"
38,"services","married","basic.9y","no","unknown","unknown","telephone","jun","fri",17,3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no","234a2a5581872457b9fe1187d1616b13"
47,"admin.","married","university.degree","no","yes","no","cellular","nov","mon",58,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no","dd4ad37ee474732a009111e3456e7ed7"
35,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","thu",170,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no","71db8a6cad03244e6e50f0ad8bc95a65"
25,"services","single","basic.6y","unknown","yes","no","cellular","jul","thu",301,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no","8f3571abef23f6aca0f7b8666a74e7e0"
36,"self-employed","single","basic.4y","no","no","no","cellular","jul","thu",148,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no","fa5a4df7ac0f9782037da890557fd8b8"
47,"blue-collar","married","basic.4y","no","yes","no","telephone","jun","thu",211,2,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no","06cd248dd1409b804444bd9ad5533d1d"
29,"admin.","single","high.school","no","no","no","cellular","may","fri",553,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no","e03a89536262b6a0e2beabd90a841c43"
27,"services","single","university.degree","no","no","no","cellular","jul","wed",698,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no","7eeda5fe3e5d82c2168536f9459170dd"
44,"admin.","divorced","university.degree","no","no","no","cellular","jul","wed",191,6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no","20e70f4a08bdc6a54e53ad0a7d1498b6"
46,"admin.","divorced","university.degree","no","yes","no","telephone","jul","mon",59,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no","2a099397e2d2dd0f2a2e5a5b4234867d"
45,"entrepreneur","married","university.degree","unknown","yes","yes","cellular","aug","mon",38,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no","e6e598642c5fbbfb7d922dbfcec86ed8"
50,"blue-collar","married","basic.4y","no","no","yes","cellular","jul","tue",849,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes","be3c152f6f6bcd5f85f9e4cba49b1e48"
55,"services","married","basic.6y","unknown","yes","no","cellular","jul","tue",326,6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no","40755f30599581bfb1186f077db8f580"
39,"technician","divorced","high.school","no","no","no","cellular","mar","mon",222,1,12,2,"success",-1.8,93.369,-34.8,0.639,5008.7,"yes","b225fb1495dbb5e5dfb3e327dceb7ab2"
44,"technician","married","professional.course","unknown","yes","no","telephone","may","fri",388,7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no","5462ea21bef8d27d5a0ea4da35939549"
38,"technician","married","professional.course","no","yes","no","cellular","aug","mon",479,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes","285d156b1b700fbb489df058fdb9e2ee"
36,"technician","divorced","professional.course","no","no","no","telephone","may","wed",446,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no","950670a85504326e573b87462146ed75"
28,"blue-collar","married","basic.6y","unknown","no","no","cellular","may","mon",68,2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no","a266aa4a0aa711355be22e0f3b8d91af"
47,"admin.","single","unknown","unknown","no","no","telephone","may","thu",127,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no","5e9df39bb0ad592a23f9d09fd6673704"
38,"technician","married","university.degree","no","yes","yes","cellular","mar","tue",113,1,999,1,"failure",-1.8,92.843,-50,1.687,5099.1,"no","263b9db4d09244c0e0ff3f826caa8d2e"
33,"services","married","high.school","unknown","yes","no","telephone","jun","mon",393,3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no","5f80a2fefde46c5f55850375f0330dae"
