id,year,Deflator,Dllr,chngdllr,pctChng,amount,TrueCode,majorfunction,subfunction,FunctionName,IsItMajorFunction,IsItSubFunction,IsItSubSubFunction,programmatic,discretionary,mandatory,Congress
1,1947,0.1216,311127,0,0,37833,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,80
116,1948,0.1331,261803,-49323.5,-15.8532,34846,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,80
231,1949,0.1375,302349,40545.9,15.4872,41573,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,81
346,1950,0.1355,431823,129474,42.8227,58512,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,81
461,1951,0.1428,615217,183394,42.4697,87853,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,82
576,1952,0.1485,666135,50917.6,8.27636,98921,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,82
691,1953,0.1512,578148,-87986.5,-13.2085,87416,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,83
806,1954,0.153,468176,-109972,-19.0214,71631,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,83
921,1955,0.1542,431796,-36380.1,-7.7706,66583,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,84
1036,1956,0.1582,467181,35384.4,8.1947,73908,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,84
1151,1957,0.1641,509732,42551.1,9.10805,83647,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,85
1266,1958,0.1691,549562,39830.5,7.81401,92931,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,85
1381,1959,0.1717,575708,26145.2,4.75746,98849,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,86
1496,1960,0.1741,580557,4849.52,0.842358,101075,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,86
1611,1961,0.1765,629292,48734.6,8.39446,111070,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,87
1726,1962,0.1783,667897,38605,6.13467,119086,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,87
1841,1963,0.1805,709230,41333.1,6.18854,128016,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,88
1956,1964,0.1827,726836,17606.4,2.48247,132793,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,88
2071,1965,0.1859,743168,16332,2.247,138155,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,89
2186,1966,0.1899,855640,112471,15.134,162486,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,89
2301,1967,0.1957,944962,89321.9,10.4392,184929,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,90
2416,1968,0.2024,941843,-3118.79,-0.330044,190629,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,90
2531,1969,0.2117,929443,-12400.3,-1.3166,196763,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,91
2646,1970,0.2231,948463,19020,2.04639,211602,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,91
2761,1971,0.2344,991617,43154.3,4.54992,232435,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,92
2876,1972,0.2456,1011580,19958.8,2.01275,248443,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,92
2991,1973,0.2562,1076720,65141.7,6.4396,275855,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,93
3106,1974,0.2744,1143500,66784.8,6.20262,313777,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,93
3221,1975,0.3027,1355720,212216,18.5585,410376,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,94
3336,1976,0.3237,1291690,-64028.7,-4.72286,418120,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,94
3451,1977,0.347,1349290,57595.5,4.45893,468202,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,95
3566,1978,0.3704,1363930,14642.9,1.08523,505199,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,95
3681,1979,0.4001,1397920,33987.3,2.49187,559306,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,96
3796,1980,0.4349,1549520,151609,10.8453,674043,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,96
3911,1981,0.4775,1555090,5564.87,0.359135,742555,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,97
4026,1982,0.5103,1587050,31963.7,2.05542,809873,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,97
4141,1983,0.5327,1668530.13,81480.12953,5.134061909,888826,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,98
4256,1984,0.5515,1728455.122,59924.99286,3.591484014,953243,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,98
4371,1985,0.5698,1877851.878,149396.7555,8.643369071,1070000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,99
4486,1986,0.5828,1853122.855,-24729.02267,-1.316878235,1080000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,99
4601,1987,0.5958,1846257.133,-6865.721916,-0.370494697,1100000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,100
4716,1988,0.6151,1934644.773,88387.63994,4.787395989,1190000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,100
4831,1989,0.6396,2048155.097,113510.3237,5.867243708,1310000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,101
4946,1990,0.6627,2082390.222,34235.12488,1.671510372,1380000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,101
5061,1991,0.6862,2127659.574,45269.35265,2.173913043,1460000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,102
5176,1992,0.703,2162162.162,34502.58769,1.621621622,1520000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,102
5291,1993,0.7197,2139780.464,-22381.69808,-1.035153536,1540000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,103
5406,1994,0.7354,2134892.575,-4887.888613,-0.228429444,1570000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,103
5521,1995,0.751,2130492.676,-4399.899038,-0.206094634,1600000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,104
5636,1996,0.765,2156862.745,26370.06867,1.237745098,1650000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,104
5751,1997,0.7785,2209377.007,52514.26197,2.434752146,1720000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,105
5866,1998,0.7881,2283974.115,74597.1079,3.37638654,1800000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,105
5981,1999,0.7981,2418243.328,134269.2129,5.878753707,1930000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,106
6096,2000,0.8147,2454891.371,36648.04315,1.515482033,2000000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,106
6211,2001,0.8342,2565332.055,110440.6836,4.498801247,2140000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,107
6326,2002,0.8477,2677834.139,112502.0848,4.385478463,2270000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,107
6441,2003,0.8639,2812825.559,134991.4191,5.041067223,2430000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,108
6556,2004,0.8853,2891675.138,78849.57986,2.803216133,2560000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,108
6671,2005,0.9131,3022670.025,130994.8868,4.53006927,2760000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,109
6786,2006,0.9428,3160797.624,138127.5989,4.569721397,2980000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,109
6901,2007,0.9684,3170177.613,9379.988458,0.296760172,3070000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,110
7016,2008,0.9885,3571067.274,400889.6611,12.64565302,3530000,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,110
7131,2009,1,4193300,622232.7264,17.42427904,4193300,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,111
7246,2010,1.0088,3525614.592,-667685.4084,-15.92267208,3556640,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,111
7361,2011,1.0293,3440600.408,-85014.18355,-2.411329467,3541410,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,112
7476,2012,1.0481,3178866.52,-261733.8877,-7.607215504,3331770,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,112
7591,2013,1.0661,3244695.62,65829.09918,2.070835587,3459170,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,113
7706,2014,1.0843,3357852.993,113157.3732,3.487457267,3640920,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,113
7821,2015,1.099,3456161.965,98308.97271,2.927733076,3798322,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,114
