Product_SKU,Product_Weight,Product_Fat,Product_Shelf_Space,Product_Class,Product_MRP,Store_Id,Store_Founded_Year,Store_Size,Store_Location_Type,Store_Type,Product_Store_Sales
ffb0a1cf94c3f51ef77d74fcb687e885,9.3,Low,0.016047301,Books,249.8092,LOCATION049,2004,Medium Size,Level 1,Deparment Store,3735.138
646d1de300d14b71044691cccb715b51,5.92,Regular,0.019278216,Home and Garden,48.2692,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,443.4228
20945c229ea0b5050b773a831bd90231,17.5,Low,0.016760075,Art,141.618,LOCATION049,2004,Medium Size,Level 1,Deparment Store,2097.27
fca867ddddfec288df5e885d1cd02f63,19.2,Regular,0,Business Products,182.095,LOCATION010,2003,,Level 3,Groceries Store,732.38
af5f90ea181cf619da4195804fb52abd,8.93,Low,0,Accesories,53.8614,LOCATION013,1992,Large Size,Level 3,Deparment Store,994.7052
2a44ea93e71b1748a23f6a1b1b42a37b,10.395,Regular,0,Electronics,51.4008,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,556.6088
4b4abad9539c7db54154a440e2fb55d7,13.65,Regular,0.012741089,Antiques,57.6588,LOCATION013,1992,Large Size,Level 3,Deparment Store,343.5528
bf6ecc18b1d2fb6a43238a395411644d,NA,Low,0.127469857,Antiques,107.7622,LOCATION027,1990,Medium Size,Level 3,Hypermarket Store,4022.7636
e6291fb8513932c0c63721978b030e69,16.2,Regular,0.016687114,Apparel,96.9726,LOCATION045,2007,,Level 2,Deparment Store,1076.5986
90f9f4eea5550c0008ae70afe5728ab6,11.8,Low,0,Business Products,45.5402,LOCATION049,2004,Medium Size,Level 1,Deparment Store,1516.0266
c28f78f13fcc2ed4fe3760a7d13cd7f9,18.5,Regular,0.045463773,Books,144.1102,LOCATION046,2002,Small Size,Level 1,Deparment Store,2187.153
c9d5df142c0d3e34968dd40e6ec84035,17.6,Regular,0.047257328,Antiques,119.6782,LOCATION046,2002,Small Size,Level 1,Deparment Store,2145.2076
b406edfc6a4f37351f6560aea91fa000,9,Regular,0.069088961,Baby Products,56.3614,LOCATION046,2002,Small Size,Level 1,Deparment Store,1547.3192
545c2b892b20bf5af7d87439cf8e3aba,11.8,Low,0.008596051,Collectibles,115.3492,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,1621.8888
b406edfc6a4f37351f6560aea91fa000,9,Regular,0.069196376,Baby Products,54.3614,LOCATION049,2004,Medium Size,Level 1,Deparment Store,718.3982
0960c8342d894c988e9d7636c402ea1d,NA,Low,0.034237682,Cameras,113.2834,LOCATION027,1990,Medium Size,Level 3,Hypermarket Store,2303.668
9a7287bc42c90a33980d36cf650a494f,13.35,Low,0.10249212,Books,230.5352,LOCATION035,2009,Small Size,Level 2,Deparment Store,2748.4224
d7a8b20360d7143ef2a2bebd6d1c45a4,14.6,Low,0.025698134,Accesories,196.5084,LOCATION035,2009,Small Size,Level 2,Deparment Store,1587.2672
2d6db854a4ff35f8f4eae62145b39a19,NA,Low,0.057556998,Electronics,107.6938,LOCATION019,1990,Small Size,Level 1,Groceries Store,214.3876
7357adc8362eb36a2b48d434849853bd,13.85,Regular,0.025896485,Apparel,165.021,LOCATION046,2002,Small Size,Level 1,Deparment Store,4078.025
5d698f2d45a2e6e4232810ffab23b9ed,13,Low,0.099887103,Accesories,45.906,LOCATION017,2012,,Level 2,Deparment Store,838.908
ec1315c98e98aedfcdd43b5184fed45b,7.645,Regular,0.066693437,Antiques,42.3112,LOCATION035,2009,Small Size,Level 2,Deparment Store,1065.28
28039660cfe1f585005da2c6291483b8,11.65,low fat,0.019356132,Cameras,39.1164,LOCATION013,1992,Large Size,Level 3,Deparment Store,308.9312
fa738fac02eb19daab6f9b45e47bc4c7,NA,Regular,0.072221801,Beauty,43.6454,LOCATION019,1990,Small Size,Level 1,Groceries Store,125.8362
2df6781f6963a9a4da220003a1ad7b1d,18.6,Low,0.080829372,Collectibles,96.4436,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,2741.7644
060639f509a692df2fda62ec4df61ddc,18.7,Low,0,Antiques,256.6672,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,3068.0064
66b16f26371bba112e6a8c6efe4a62f0,10,Low,0.089291137,Collectibles,146.7102,LOCATION049,2004,Medium Size,Level 1,Deparment Store,3791.0652
f8be5afff7fa2b20c8de42f9fe488457,NA,Regular,0.059511812,Business Products,128.0678,LOCATION027,1990,Medium Size,Level 3,Hypermarket Store,2797.6916
1c48b04e82e2ca496ac56b6c112618aa,8.85,Regular,0.113123893,Home and Garden,122.5388,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,1609.9044
c7fd11eed38c9437dc7aba0e358c7b24,NA,Regular,0.123111453,Antiques,36.9874,LOCATION027,1990,Medium Size,Level 3,Hypermarket Store,388.1614
a319094b506fecb1563f968fb3f6b160,NA,Low,0.026480954,Antiques,87.6198,LOCATION027,1990,Medium Size,Level 3,Hypermarket Store,2180.495
9a7287bc42c90a33980d36cf650a494f,13.35,Low,0.102511504,Books,230.6352,LOCATION046,2002,Small Size,Level 1,Deparment Store,3435.528
0dfce38b3588e4591dda873185a89041,9.8,Low,0.02681843,Art,126.002,LOCATION013,1992,Large Size,Level 3,Deparment Store,2150.534
67bbb17755fb1b4a8555b6587717661b,21.35,Low,0.069102831,Beauty,259.9278,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,6768.5228
45c0c455db40d89541670608f28e6774,12.15,Regular,0.042277867,Beauty,126.5046,LOCATION013,1992,Large Size,Level 3,Deparment Store,373.5138
120982299f8530b71de4e0809a58bae2,6.42,LF,0.089498926,Books,178.1002,LOCATION010,2003,,Level 3,Groceries Store,358.2004
fe5697c6284a94fc756f1bd5c2ef6661,19.6,Low,0,Collectibles,153.3024,LOCATION045,2007,,Level 2,Deparment Store,2428.8384
1debd8fa8b54a609b8b0283c4d8b24cc,10,Low,0.025879577,Beauty,265.2226,LOCATION045,2007,,Level 2,Deparment Store,5815.0972
362f0b86ad6d0002ab5842949aa2fc21,15.85,Regular,0.121632721,Electronics,60.622,LOCATION046,2002,Small Size,Level 1,Deparment Store,2576.646
1b50a29be59177c162e8f57cc8ad3d27,NA,Regular,0.255394896,Books,196.8794,LOCATION019,1990,Small Size,Level 1,Groceries Store,780.3176
b55bccf02fa0b32c25666bc98b118231,7.39,Low,0.067779712,Collectibles,143.8812,LOCATION046,2002,Small Size,Level 1,Deparment Store,3134.5864
51467955f724d0c13f1132c08e5ddeaa,10.195,Low,0.159803853,Apparel,141.5154,LOCATION013,1992,Large Size,Level 3,Deparment Store,850.8924
20849c35f2797428a0359952b8c2b92d,9.895,Regular,0.028696932,Beauty,117.0492,LOCATION013,1992,Large Size,Level 3,Deparment Store,810.9444
cfbb8ba4fb71d11404d0963d288ff98b,10.895,Low,0.065041581,Business Products,196.3794,LOCATION017,2012,,Level 2,Deparment Store,3121.2704
a47bf679a2f1549ec3df9e763572380c,12.15,Low,0.028760013,Accesories,151.4708,LOCATION017,2012,,Level 2,Deparment Store,4815.0656
ab6532b4a4bd1bed6ba273aeb27d9614,7.905,Low,0.010053105,Antiques,249.0408,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,6258.52
3e8e2ade7d1b190e2f126d1102d0ccc2,9.195,Low,0.048157338,Accesories,106.1622,LOCATION045,2007,,Level 2,Deparment Store,2117.244
ca548d5cc11cb884613d72f85c8b8c61,NA,Low,0.061082177,Beauty,180.0344,LOCATION019,1990,Small Size,Level 1,Groceries Store,892.172
48d2654269e3cad9acad8e571149d20a,10,Low,0,Business Products,246.9144,LOCATION018,2014,Medium Size,Level 3,Supermarket Store,3185.1872
79a23e4ef34c5346ee18bee07d46da5e,7.97,Regular,0.040071131,Art,87.3514,LOCATION045,2007,,Level 2,Deparment Store,1062.6168
43314f017c924ee6caf9abb7074eb908,NA,Low,0.012090074,Business Products,38.2848,LOCATION027,1990,Medium Size,Level 3,Hypermarket Store,484.7024
