Date	Price	Sales
2002-01-01	10.5	42.0
2002-02-01	10	40.0
2002-03-01	9.8	39.0
2002-04-01	7.9	35.0
2002-05-01	7.5	30.0
2002-06-01	7.5	30.0
2002-07-01	6.8	27.0
2002-08-01	7	28.0
2002-09-01	6.8	30.0
2002-10-01	7.9	35.0
2002-11-01	10	40.0
2002-12-01	10.9	48.0
2003-01-01	12	47.9
2003-02-01	11.2	44.9
2003-03-01	11.7	46.9
2003-04-01	10.2	40.8
2003-05-01	9.7	38.8
2003-06-01	8.8	38.8
2003-07-01	6.9	30.6
2003-08-01	7.7	30.6
2003-09-01	8.8	38.8
2003-10-01	10.2	40.8
2003-11-01	11.5	45.9
2003-12-01	11.1	49.0
2004-01-01	11	44.1
2004-02-01	10.7	47.1
2004-03-01	11.1	49.3
2004-04-01	9.7	42.8
2004-05-01	10.2	40.7
2004-06-01	9.2	40.7
2004-07-01	8	32.1
2004-08-01	7.3	32.1
2004-09-01	10.2	40.7
2004-10-01	9.7	42.8
2004-11-01	10.9	48.2
2004-12-01	12.9	51.4
2005-01-01	11.6	46.3
2005-02-01	11.2	49.5
2005-03-01	11.7	51.7
2005-04-01	11.2	45.0
2005-05-01	10.7	42.7
2005-06-01	9.7	42.7
2005-07-01	7.6	33.7
2005-08-01	8.4	33.7
2005-09-01	9.7	42.7
2005-10-01	11.2	45.0
2005-11-01	11.4	50.6
2005-12-01	12.2	54.0
2006-01-01	11	48.6
2006-02-01	10.9	43.7
2006-03-01	10.4	41.6
2006-04-01	10.1	40.6
2006-05-01	8.2	36.4
2006-06-01	7.1	31.2
2006-07-01	7.1	31.2
2006-08-01	7	28.1
2006-09-01	6.6	29.1
2006-10-01	7.8	31.2
2006-11-01	8.2	36.4
2006-12-01	9.4	41.6
2007-01-01	12.5	49.9
2007-02-01	12.5	49.9
2007-03-01	10.6	46.7
2007-04-01	12.2	48.8
2007-05-01	10.6	42.4
2007-06-01	10.1	40.3
2007-07-01	9.1	40.3
2007-08-01	8	31.8
2007-09-01	8	31.8
2007-10-01	9.1	40.3
2007-11-01	9.6	42.4
2007-12-01	10.8	47.7
2008-01-01	12.7	50.9
2008-02-01	11.5	45.9
2008-03-01	12.3	49.0
2008-04-01	11.6	51.2
2008-05-01	10.1	44.6
2008-06-01	9.6	42.3
2008-07-01	9.6	42.3
2008-08-01	7.6	33.4
2008-09-01	7.6	33.4
2008-10-01	10.6	42.3
2008-11-01	11.1	44.6
2008-12-01	11.3	50.1
2009-01-01	13.4	53.5
2009-02-01	10.9	48.2
2009-03-01	11.6	51.5
2009-04-01	12.2	53.8
2009-05-01	11.7	46.8
2009-06-01	11.1	44.4
2009-07-01	10.1	44.4
2009-08-01	8.8	35.1
2009-09-01	7.9	35.1
2009-10-01	10.1	44.4
2009-11-01	10.6	46.8
2009-12-01	11.9	52.6
2010-01-01	12.7	56.1
2010-02-01	11.4	50.6
2010-03-01	10.3	45.4
2010-04-01	9.8	43.3
2010-05-01	9.5	42.2
2010-06-01	8.6	37.9
2010-07-01	8.1	32.4
2010-08-01	8.1	32.4
2010-09-01	7.3	29.2
2010-10-01	7.6	30.3
2010-11-01	8.1	32.4
2010-12-01	8.4	37.1
2011-01-01	9.6	42.4
2011-02-01	12.7	50.9
2011-03-01	11.5	50.9
2011-04-01	11.9	47.6
2011-05-01	11.3	49.8
2011-06-01	9.8	43.3
2011-07-01	10.3	41.1
2011-08-01	10.3	41.1
2011-09-01	7.3	32.5
2011-10-01	7.3	32.5
2011-11-01	10.3	41.1
